t,W,p_R,B_drive,R_drive
352,1.0704311112218288,0.9743617817242878,0.0,0.0
353,1.0691014184391812,0.9744575030935312,0.0,0.0
354,1.0677638193513779,0.9745524036574115,0.0,0.0
355,1.0664184750397494,0.9746464929502499,0.0,0.0
356,1.0650655444118946,0.9747397803717994,0.0,0.0
357,1.0637051842311096,0.9748322751893947,0.0,0.0
358,1.0623375491453904,0.9749239865400662,0.0,0.0
359,1.0609627917160123,0.9750149234326175,0.0,0.0
360,1.0596283646064422,0.9748216850554171,1.0,0.0
361,1.058334229907465,0.9746273584972852,1.0,0.0
362,1.057080348950732,0.9744319483365421,1.0,0.0
363,1.0558666822823772,0.9742354593298203,1.0,0.0
364,1.0546931896366174,0.9740378964134467,1.0,0.0
365,1.0535111044091428,0.9741318248709471,0.0,0.0
366,1.0523205856973443,0.974224980570304,0.0,0.0
367,1.051121790560482,0.9743173720347391,0.0,0.0
368,1.0499148740456066,0.9744090076749994,0.0,0.0
369,1.0486999892131377,0.974499895790993,0.0,0.0
370,1.0475247963869698,0.9743050441228247,1.0,0.0
371,1.0463892558598868,0.9741091344707463,1.0,0.0
372,1.0452933271234568,0.9739121717260341,1.0,0.0
373,1.0442369688423128,0.9737141609570733,1.0,0.0
374,1.0432201388284392,0.9735151074106059,1.0,0.0
375,1.0421938878380577,0.9736090269965983,0.0,0.0
376,1.0411583754337133,0.9737022000226467,0.0,0.0
377,1.0401137592349996,0.9737946343402373,0.0,0.0
378,1.0390601949417384,0.9738863377041247,0.0,0.0
379,1.0379978363568825,0.9739773177735903,0.0,0.0
380,1.036974545947224,0.9737810193685008,1.0,0.0
381,1.0359902819228604,0.9735836942574554,1.0,0.0
382,1.0350450016532795,0.9733853476448473,1.0,0.0
383,1.03413866164237,0.9731859849104545,1.0,0.0
384,1.033271217503455,0.9729856116105504,1.0,0.0
385,1.032393543660661,0.9730796601022101,0.0,0.0
386,1.0315058003782305,0.973172985625912,0.0,0.0
387,1.030608146063017,0.97326559542429,0.0,0.0
388,1.0297007372852136,0.9733574966572259,0.0,0.0
389,1.0287837287988606,0.9734486964027838,0.0,0.0
390,1.0279051768369418,0.9732511228441599,1.0,0.0
391,1.0270650372696066,0.9730525549148221,1.0,0.0
392,1.026263265090092,0.9728529981283851,1.0,0.0
393,1.0254998143905247,0.972652458171604,1.0,0.0
394,1.024774638337764,0.9724509409053447,1.0,0.0
395,1.024038444176233,0.9725452431230308,0.0,0.0
396,1.0232913930750382,0.9726388436200211,0.0,0.0
397,1.0225336444229927,0.9727317490851434,0.0,0.0
398,1.0217653558471407,0.9728239661369512,0.0,0.0
399,1.0209866832311154,0.9729155013243783,0.0,0.0
400,1.0202458655962932,0.972716828816318,1.0,0.0
401,1.019542856244297,0.9725171952810489,1.0,0.0
402,1.018877607566988,0.9723166065337587,1.0,0.0
403,1.0182500710231162,0.9721150685600181,1.0,0.0
404,1.01766019711503,0.9719125875166061,1.0,0.0
405,1.0170585376400423,0.9720072562911796,0.0,0.0
406,1.0164452548462974,0.9721012424707531,0.0,0.0
407,1.0158205092712373,0.9721945522388984,0.0,0.0
408,1.0151844597581408,0.9722871917201024,0.0,0.0
409,1.014537263472538,0.9723791669801815,0.0,0.0
410,1.0139273288901944,0.9721795757800803,1.0,0.0
411,1.0133546065453316,0.9719790578331475,1.0,0.0
412,1.012819046033326,0.9717776192450464,1.0,0.0
413,1.0123205959882629,0.9715752662885585,1.0,0.0
414,1.0118592040605683,0.9713720054042692,1.0,0.0
415,1.0113852806610495,0.9714671423360476,0.0,0.0
416,1.0108989892655968,0.9715616138690035,0.0,0.0
417,1.0104004917022966,0.9716554257245957,0.0,0.0
418,1.0098899481661734,0.9717485835752775,0.0,0.0
419,1.009367517233848,0.9718410930447002,0.0,0.0
